"","Trials.thisN","condition","blurr_confirm.rt","Press","Whenpress","Curiosity.response","Confidence.response","Surprise.response","ParticipantID","normal_confidence","normal_curiosity","normal_surprise"
"344",36,1,0.493422512314,1,2,1,10,1,7,0.798237446164722,-1.03467054433567,-0.669817180000932
"347",37,1,0.12266144203,1,11,2,9,2,7,0.441409448706982,-0.435183319076804,-0.118443281829433
"371",39,1,0.157576740196,1,15,6,4,1,7,-1.34273053858172,1.96276558195864,-0.669817180000932
"401",41,1,0,0,0,6,1,6,7,-2.41321453095494,1.96276558195864,2.08705231085656
"423",43,1,0.283224163635,1,13,3,6,3,7,-0.629074543666237,0.164303906182059,0.432930616342066
"437",44,1,0.845420846599,1,13,4,7,2,7,-0.272246546208498,0.763791131440921,-0.118443281829433
"457",46,1,0.330681744497,1,10,2,10,1,7,0.798237446164722,-0.435183319076804,-0.669817180000932
"468",47,1,0.0940771890455,1,11,3,8,6,7,0.0845814512492421,0.164303906182059,2.08705231085656
"480",48,1,0.760150049988,1,5,1,10,1,7,0.798237446164722,-1.03467054433567,-0.669817180000932
"486",49,1,0.295064665552,1,12,2,10,1,7,0.798237446164722,-0.435183319076804,-0.669817180000932
"499",50,1,0.0964712990099,1,12,2,9,1,7,0.441409448706982,-0.435183319076804,-0.669817180000932
"553",56,1,0,0,0,6,1,6,7,-2.41321453095494,1.96276558195864,2.08705231085656
"576",58,1,0.563634036342,1,12,1,10,1,7,0.798237446164722,-1.03467054433567,-0.669817180000932
"589",59,7,0.929823974555,1,6,5,7,4,7,-0.272246546208498,1.36327835669978,0.984304514513565
"605",61,1,0.261631776753,1,8,3,9,5,7,0.441409448706982,0.164303906182059,1.53567841268506
"614",62,1,0.363496820442,1,8,4,7,1,7,-0.272246546208498,0.763791131440921,-0.669817180000932
"623",63,1,0.807760889409,1,13,2,9,6,7,0.441409448706982,-0.435183319076804,2.08705231085656
"646",65,1,0.0238400649978,1,13,1,10,1,7,0.798237446164722,-1.03467054433567,-0.669817180000932
"666",67,1,0.247331970255,1,8,4,6,1,7,-0.629074543666237,0.763791131440921,-0.669817180000932
"698",70,1,0.852093907539,1,1,1,10,1,7,0.798237446164722,-1.03467054433567,-0.669817180000932
"700",71,1,0,0,0,6,1,5,7,-2.41321453095494,1.96276558195864,1.53567841268506
